damage_base,rolled_damage,set_min,set_average,set_max,source_id,source_page
1,1d6+1,2,5,7,core,237
2,1d6+3,4,7,9,core,237
3,1d6+5,6,9,11,core,237
4,1d8+6,7,11,14,core,237
5,1d8+8,9,13,16,core,237
6,2d6+8,10,15,20,core,237
7,2d6+10,12,17,22,core,237
8,2d8+10,12,19,26,core,237
9,2d10+10,12,21,30,core,237
10,3d8+10,13,24,34,core,237
11,3d10+10,13,27,40,core,237
12,3d12+10,13,30,46,core,237
13,4d10+10,14,35,50,core,237
14,4d10+15,19,40,55,core,237
15,4d10+20,24,45,60,core,237
16,5d10+20,25,50,70,core,237
17,5d12+25,30,60,85,core,237
18,6d12+25,31,65,97,core,237
19,6d12+30,36,70,102,core,237
20,6d12+35,41,75,107,core,237
21,6d12+40,46,80,112,core,237
22,6d12+45,51,85,117,core,237
23,6d12+50,56,90,122,core,237
24,6d12+55,61,95,127,core,237
25,6d12+60,66,100,132,core,237
26,7d12+65,72,110,149,core,237
27,8d12+70,78,120,166,core,237
28,8d12+80,88,130,176,core,237
