level,cumulative_exp,stat_points_awarded,tutor_point_awarded,ability_unlock,check_moves_and_evolution
1,0,0,False,False,False
2,10,1,False,False,True
3,20,1,False,False,True
4,30,1,False,False,True
5,40,1,True,False,True
6,50,1,False,False,True
7,60,1,False,False,True
8,70,1,False,False,True
9,80,1,False,False,True
10,90,1,True,False,True
11,110,1,False,False,True
12,135,1,False,False,True
13,160,1,False,False,True
14,190,1,False,False,True
15,220,1,True,False,True
16,250,1,False,False,True
17,285,1,False,False,True
18,320,1,False,False,True
19,360,1,False,False,True
20,400,1,True,True,True
21,460,1,False,False,True
22,530,1,False,False,True
23,600,1,False,False,True
24,670,1,False,False,True
25,745,1,True,False,True
26,820,1,False,False,True
27,900,1,False,False,True
28,990,1,False,False,True
29,1075,1,False,False,True
30,1165,1,True,False,True
31,1260,1,False,False,True
32,1355,1,False,False,True
33,1455,1,False,False,True
34,1555,1,False,False,True
35,1660,1,True,False,True
36,1770,1,False,False,True
37,1880,1,False,False,True
38,1995,1,False,False,True
39,2110,1,False,False,True
40,2230,1,True,True,True
41,2355,1,False,False,True
42,2480,1,False,False,True
43,2610,1,False,False,True
44,2740,1,False,False,True
45,2875,1,True,False,True
46,3015,1,False,False,True
47,3155,1,False,False,True
48,3300,1,False,False,True
49,3445,1,False,False,True
50,3645,1,True,False,True
51,3850,1,False,False,True
52,4060,1,False,False,True
53,4270,1,False,False,True
54,4485,1,False,False,True
55,4705,1,True,False,True
56,4930,1,False,False,True
57,5160,1,False,False,True
58,5390,1,False,False,True
59,5625,1,False,False,True
60,5865,1,True,False,True
61,6110,1,False,False,True
62,6360,1,False,False,True
63,6610,1,False,False,True
64,6865,1,False,False,True
65,7125,1,True,False,True
66,7390,1,False,False,True
67,7660,1,False,False,True
68,7925,1,False,False,True
69,8205,1,False,False,True
70,8485,1,True,False,True
71,8770,1,False,False,True
72,9060,1,False,False,True
73,9350,1,False,False,True
74,9645,1,False,False,True
75,9945,1,True,False,True
76,10250,1,False,False,True
77,10560,1,False,False,True
78,10870,1,False,False,True
79,11185,1,False,False,True
80,11505,1,True,False,True
81,11910,1,False,False,True
82,12320,1,False,False,True
83,12735,1,False,False,True
84,13155,1,False,False,True
85,13580,1,True,False,True
86,14010,1,False,False,True
87,14445,1,False,False,True
88,14885,1,False,False,True
89,15330,1,False,False,True
90,15780,1,True,False,True
91,16235,1,False,False,True
92,16695,1,False,False,True
93,17160,1,False,False,True
94,17630,1,False,False,True
95,18105,1,True,False,True
96,18585,1,False,False,True
97,19070,1,False,False,True
98,19560,1,False,False,True
99,20055,1,False,False,True
100,20555,1,True,False,True
