id,display_name,national_dex_number,display_dex_id,variant_index,variant_of,variant_kind,variant_label,generation,enabled,enabled_for_character_creation,mechanical_completeness,types,base_stats,height,weight,gender_ratio,egg_groups,habitats,source_id,source_page,needs_review,reference_validation
pidgey--pidgey,Pidgey,16,16-1,1,pidgey,homebrew_regional,Paldean,,True,True,complete,"[""Electric"",""Flying""]","{""hp"":4,""attack"":4,""defense"":4,""special_attack"":5,""special_defense"":4,""speed"":6}","{""raw"":""1' 0\"" / 0.3m (Small)"",""meters"":0.3,""size_class"":""Small""}","{""raw"":""4 lbs / 1.8kg (1)"",""kg"":1.8,""weight_class"":1}","{""raw"":""50% M / 50% F"",""male_percent"":50.0,""female_percent"":50.0,""genderless"":false}","[""Flying""]","[""Forest"",""Urban""]",pidgey,1,False,"{""unresolved_abilities"":0,""unresolved_move_references"":6,""unresolved_capabilities"":0}"
pidgeotto--pidgey,Pidgeotto,17,17-1,1,pidgeotto,homebrew_regional,Paldean,,True,True,complete,"[""Electric"",""Flying""]","{""hp"":6,""attack"":5,""defense"":5,""special_attack"":6,""special_defense"":6,""speed"":7}","{""raw"":""3' 7\"" / 1.1m (Medium)"",""meters"":1.1,""size_class"":""Medium""}","{""raw"":""66.1 lbs / 30kg (3)"",""kg"":30.0,""weight_class"":3}","{""raw"":""50% M / 50% F"",""male_percent"":50.0,""female_percent"":50.0,""genderless"":false}","[""Flying""]","[""Forest""]",pidgey,2,False,"{""unresolved_abilities"":0,""unresolved_move_references"":6,""unresolved_capabilities"":0}"
pidgeot--pidgey,Pidgeot,18,18-1,1,pidgeot,homebrew_regional,Paldean,,True,True,complete,"[""Electric"",""Flying""]","{""hp"":8,""attack"":7,""defense"":7,""special_attack"":8,""special_defense"":8,""speed"":10}","{""raw"":""4' 11\"" / 1.5m (Medium)"",""meters"":1.5,""size_class"":""Medium""}","{""raw"":""87.1 lbs / 39.5kg (3)"",""kg"":39.5,""weight_class"":3}","{""raw"":""50% M / 50% F"",""male_percent"":50.0,""female_percent"":50.0,""genderless"":false}","[""Flying""]","[""Forest""]",pidgey,3,False,"{""unresolved_abilities"":0,""unresolved_move_references"":5,""unresolved_capabilities"":0}"
kubfu,Kubfu,891,891,,,,,8,False,False,external_stub,"[""Fighting""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
urshifu,Urshifu,892,892,,,,,8,False,False,external_stub,"[""Fighting"",""Dark""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
zarude,Zarude,893,893,,,,,8,False,False,external_stub,"[""Dark"",""Grass""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
regieleki,Regieleki,894,894,,,,,8,False,False,external_stub,"[""Electric""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
regidrago,Regidrago,895,895,,,,,8,False,False,external_stub,"[""Dragon""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
glastrier,Glastrier,896,896,,,,,8,False,False,external_stub,"[""Ice""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
spectrier,Spectrier,897,897,,,,,8,False,False,external_stub,"[""Ghost""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
calyrex,Calyrex,898,898,,,,,8,False,False,external_stub,"[""Psychic"",""Grass""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
wyrdeer,Wyrdeer,899,899,,,,,8,False,False,external_stub,"[""Normal"",""Psychic""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
kleavor,Kleavor,900,900,,,,,8,False,False,external_stub,"[""Bug"",""Rock""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
ursaluna,Ursaluna,901,901,,,,,8,False,False,external_stub,"[""Ground"",""Normal""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
basculegion,Basculegion,902,902,,,,,8,False,False,external_stub,"[""Water"",""Ghost""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
sneasler,Sneasler,903,903,,,,,8,False,False,external_stub,"[""Fighting"",""Poison""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
overqwil,Overqwil,904,904,,,,,8,False,False,external_stub,"[""Dark"",""Poison""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
enamorus,Enamorus,905,905,,,,,8,False,False,external_stub,"[""Fairy"",""Flying""]",{},"{""raw"":""""}","{""raw"":""""}","{""raw"":""""}",[],[],pokeapi_species_csv,,False,"{""unresolved_abilities"":0,""unresolved_move_references"":0,""unresolved_capabilities"":0}"
