family_id,from_species_name,to_species_name,to_min_level,condition_text,mapping_confidence,source_id
evofam-00f428189d6d,Snover,Abomasnow,30,Minimum 30,safe_single_predecessor,gen8
evofam-c5572bb9cd6c,Abra,Kadabra,15,Minimum 15,safe_single_predecessor,gen8
evofam-c5572bb9cd6c,Kadabra,Alakazam,35,Minimum 35 TM,safe_single_predecessor,gen8
evofam-652e91b0cf54,Shelmet,Accelgor,25,Minimum 25,safe_single_predecessor,gen8
evofam-8294d9a4dd30,Honedge,Doublade,25,Minimum 25,safe_single_predecessor,gen8
evofam-8294d9a4dd30,Doublade,Aegislash,40,Minimum 40,safe_single_predecessor,gen8
evofam-e8cc322eb984,Aron,Lairon,30,Minimum 30,safe_single_predecessor,gen8
evofam-e8cc322eb984,Lairon,Aggron,40,Minimum 40,safe_single_predecessor,gen8
evofam-984bdcbbe787,Aipom,Ambipom,25,Minimum 25,safe_single_predecessor,gen8
evofam-a57ca315d99a,Kadabra,Alakazam,35,Minimum 35,safe_single_predecessor,gen8
evofam-b0d03ed5a1a1,Milcery,Alcremie,20,Minimum 20,safe_single_predecessor,gen8
evofam-264c235efcf5,Swablu,Altaria,30,Minimum 30,safe_single_predecessor,gen8
evofam-167ded756949,Amaura,Aurorus,30,Minimum 30,safe_single_predecessor,gen8
evofam-dd3e49ca7c98,Foongus,Amoonguss,30,Minimum 30,safe_single_predecessor,gen8
evofam-4b0070579e9d,Mareep,Flaaffy,15,Minimum 15,safe_single_predecessor,gen8
evofam-4b0070579e9d,Flaaffy,Ampharos,30,Minimum 30,safe_single_predecessor,gen8
evofam-2d0d847bb812,Anorith,Armaldo,30,Minimum 30 Egg,safe_single_predecessor,gen8
evofam-416dfade41fc,Applin,Appletun,20,Minimum 20,safe_single_predecessor,gen8
evofam-1f1bdf6f5191,Applin,Flapple,20,Minimum 20,safe_single_predecessor,gen8
evofam-f21da6067f1f,Dewpider,Araquanid,20,Minimum 20,safe_single_predecessor,gen8
evofam-5cd7ebc1a561,Ekans,Arbok,20,Minimum 20,safe_single_predecessor,gen8
evofam-3b9badf19a29,Growlithe,Arcanine,25,Minimum 25,safe_single_predecessor,gen8
evofam-060f1bb366d6,Archen,Archeops,30,Minimum 30,safe_single_predecessor,gen8
evofam-ebd227d6dd2f,Spinarak,Ariados,20,Minimum 20,safe_single_predecessor,gen8
evofam-552a89ff8f2f,Anorith,Armaldo,30,Minimum 30,safe_single_predecessor,gen8
evofam-18f558dac053,Charcadet,Armarouge,25,Minimum 25,safe_single_predecessor,knight
evofam-18f558dac053,Charcadet,Ceruledge,25,Minimum 25,safe_single_predecessor,knight
evofam-2f983361149e,Spritzee,Aromatisse,25,Minimum 25,safe_single_predecessor,gen8
evofam-99226cd89511,Arrokuda,Barraskewda,25,Minimum 25,safe_single_predecessor,gen8
evofam-3d0b4bc3fc26,Bergmite,Avalugg,30,Minimum 30,safe_single_predecessor,gen8
evofam-85d04fb0833d,Axew,Fraxure,20,Minimum 20,safe_single_predecessor,gen8
evofam-85d04fb0833d,Fraxure,Haxorus,40,Minimum 40,safe_single_predecessor,gen8
evofam-cffd25be87d4,Azurill,Marill,10,Minimum 10,safe_single_predecessor,gen8
evofam-cffd25be87d4,Marill,Azumarill,20,Minimum 20,safe_single_predecessor,gen8
evofam-7931468117b0,Bagon,Shelgon,20,Minimum 20,safe_single_predecessor,gen8
evofam-7931468117b0,Shelgon,Salamence,40,Minimum 40,safe_single_predecessor,gen8
evofam-149effb1399a,Baltoy,Claydol,30,Minimum 30,safe_single_predecessor,gen8
evofam-0d9449b932a8,Shuppet,Banette,30,Minimum 30,safe_single_predecessor,gen8
evofam-8c17afa81697,Binacle,Barbaracle,30,Minimum 30,safe_single_predecessor,gen8
evofam-01bac6d1760e,Barboach,Whiscash,30,Minimum 30 Egg,safe_single_predecessor,gen8
evofam-ea1e40dd6737,Shieldon,Bastiodon,30,Minimum 30,safe_single_predecessor,gen8
evofam-fcde8621556c,Chikorita,Bayleef,15,Minimum 15,safe_single_predecessor,gen8
evofam-fcde8621556c,Bayleef,Meganium,30,Minimum 30,safe_single_predecessor,gen8
evofam-bdd57fc3b2ef,Cubchoo,Beartic,30,Minimum 30,safe_single_predecessor,gen8
evofam-141656e8a241,Wurmple,Silcoon,5,Minimum 5,safe_single_predecessor,gen8
evofam-141656e8a241,Silcoon,Beautifly,10,Minimum 10,safe_single_predecessor,gen8
evofam-539cc2da3f96,Weedle,Kakuna,5,Minimum 5,safe_single_predecessor,gen8
evofam-539cc2da3f96,Kakuna,Beedrill,10,Minimum 10,safe_single_predecessor,gen8
evofam-1f045fba8051,Elgyem,Beheeyem,30,Minimum 30,safe_single_predecessor,gen8
evofam-60c0b855469f,Beldum,Metang,20,Minimum 20,safe_single_predecessor,gen8
evofam-60c0b855469f,Metang,Metagross,40,Minimum 40,safe_single_predecessor,gen8
evofam-70c58c86035d,Oddish,Gloom,20,Minimum 20,safe_single_predecessor,gen8
evofam-70c58c86035d,Gloom,Bellossom,30,Minimum 30,safe_single_predecessor,gen8
evofam-ae55411f7403,Bellsprout,Weepinbell,20,Minimum 20,safe_single_predecessor,gen8
evofam-ae55411f7403,Weepinbell,Victreebel,30,Minimum 30,safe_single_predecessor,gen8
evofam-ae95a47d04d2,Stufful,Bewear,25,Minimum 25,safe_single_predecessor,gen8
evofam-0289e7a932c5,Bidoof,Bibarel,15,Minimum 15,safe_single_predecessor,gen8
evofam-470041aef57a,Pawniard,Bisharp,25,Minimum 25,safe_single_predecessor,gen8
evofam-eaccb2cd0a06,Squirtle,Wartortle,15,Minimum 15,safe_single_predecessor,gen8
