definition_kind,definition_id,definition_name,prerequisite_status,effect_coverage,automation_level,needs_review,source_id,source_page
edge,acrobat,Acrobat,full,manual,manual_text,False,core,56
edge,adept-skills,Adept Skills,full,manual,manual_text,False,core,52
edge,apricorn-balls,Apricorn Balls,full,manual,manual_text,False,core,53
edge,art-of-stealth,Art of Stealth,full,full,machine_ready,False,core,56
edge,athletic-initiative,Athletic Initiative,full,full,machine_ready,False,core,54
edge,bad-mood,Bad Mood,full,manual,manual_text,False,core,54
edge,basic-balls,Basic Balls,full,manual,manual_text,False,core,53
edge,basic-cooking,Basic Cooking,full,manual,manual_text,False,core,53
edge,basic-martial-arts,Basic Martial Arts,full,full,machine_ready,False,core,54
edge,basic-psionics,Basic Psionics,full,full,machine_ready,False,core,54
edge,basic-skills,Basic Skills,full,manual,manual_text,False,core,52
edge,beast-master,Beast Master,full,manual,manual_text,False,core,53
edge,breeder,Breeder,full,manual,manual_text,False,core,53
edge,categoric-inclination,Categoric Inclination,full,manual,manual_text,False,core,52
edge,charmer,Charmer,full,full,machine_ready,False,core,54
edge,confidence-artist,Confidence Artist,full,full,machine_ready,False,core,54
edge,demoralize,Demoralize,full,manual,hybrid,False,core,54
edge,dynamism,Dynamism,full,manual,manual_text,False,core,54
edge,elemental-connection,Elemental Connection,full,manual,manual_text,False,core,56
edge,expert-manipulator,Expert Manipulator,full,manual,manual_text,False,core,54
edge,expert-skills,Expert Skills,full,manual,manual_text,False,core,52
edge,expert-trickster,Expert Trickster,full,manual,manual_text,False,core,55
edge,flustering-charisma,Flustering Charisma,full,manual,manual_text,False,core,55
edge,gem-lore,Gem Lore,full,manual,manual_text,False,core,53
edge,grace,Grace,partial,manual,hybrid,False,core,53
edge,green-thumb,Green Thumb,partial,manual,hybrid,False,core,53
edge,groomer,Groomer,full,manual,manual_text,False,core,54
edge,instinctive-aptitude,Instinctive Aptitude,full,manual,manual_text,False,core,56
edge,instruction,Instruction,full,manual,manual_text,False,core,56
edge,intimidating-presence,Intimidating Presence,full,full,machine_ready,False,core,55
edge,iron-mind,Iron Mind,full,manual,manual_text,False,core,56
edge,kip-up,Kip Up,full,manual,manual_text,False,core,55
edge,leader,Leader,full,full,machine_ready,False,core,55
edge,master-skills,Master Skills,full,manual,manual_text,False,core,52
edge,medic-training,Medic Training,full,manual,manual_text,False,core,56
edge,mounted-prowess,Mounted Prowess,full,manual,manual_text,False,core,56
edge,mystic-senses,Mystic Senses,full,manual,manual_text,False,core,56
edge,nimble-movement,Nimble Movement,full,manual,manual_text,False,core,55
edge,paleontologist,Paleontologist,partial,manual,hybrid,False,core,54
edge,poke-ball-repair,Poké Ball Repair,full,manual,manual_text,False,core,53
edge,pokepsychologist,PokéPsychologist,full,manual,manual_text,False,core,56
edge,power-boost,Power Boost,full,full,machine_ready,False,core,56
edge,repel-crafter,Repel Crafter,full,manual,manual_text,False,core,53
edge,scholar,Scholar,full,manual,manual_text,False,core,56
edge,skill-enhancement,Skill Enhancement,full,manual,manual_text,False,core,52
edge,skill-stunt,Skill Stunt,partial,manual,hybrid,False,core,52
edge,slippery,Slippery,full,manual,manual_text,False,core,55
edge,smooth,Smooth,full,manual,manual_text,False,core,55
edge,sneaks-tricks,Sneak's Tricks,full,full,machine_ready,False,core,55
edge,stamina,Stamina,full,manual,manual_text,False,core,55
edge,survival-drive,Survival Drive,full,full,machine_ready,False,core,55
edge,swimmer,Swimmer,full,manual,manual_text,False,core,56
edge,tag-scribe,Tag Scribe,full,manual,manual_text,False,core,53
edge,throwing-masteries,Throwing Masteries,full,manual,manual_text,False,core,55
edge,train-the-reserves,Train the Reserves,full,manual,manual_text,False,core,54
edge,trainer-of-champions,Trainer of Champions,full,manual,manual_text,False,core,54
edge,traveler,Traveler,full,manual,manual_text,False,core,56
edge,virtuoso,Virtuoso,full,manual,manual_text,False,core,52
edge,wallrunner,Wallrunner,full,manual,manual_text,False,core,56
edge,weapon-of-choice,Weapon of Choice,full,manual,manual_text,False,core,55
edge,work-up,Work Up,full,full,machine_ready,False,core,55
poke_edge,ability-mastery,Ability Mastery,full,full,machine_ready,False,core,204
poke_edge,accuracy-training,Accuracy Training,full,manual,manual_text,False,core,205
poke_edge,advanced-connection,Advanced Connection,full,manual,manual_text,False,core,204
poke_edge,advanced-mobility,Advanced Mobility,full,manual,manual_text,False,core,205
