national_dex_number,display_name,species_key,generation,types,definition_id,mechanical_completeness,enabled_for_character_creation,source_ids,official_number_status
891,Kubfu,kubfu,8,"[""Fighting""]",kubfu,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
892,Urshifu,urshifu,8,"[""Fighting"",""Dark""]",urshifu,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
893,Zarude,zarude,8,"[""Dark"",""Grass""]",zarude,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
894,Regieleki,regieleki,8,"[""Electric""]",regieleki,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
895,Regidrago,regidrago,8,"[""Dragon""]",regidrago,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
896,Glastrier,glastrier,8,"[""Ice""]",glastrier,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
897,Spectrier,spectrier,8,"[""Ghost""]",spectrier,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
898,Calyrex,calyrex,8,"[""Psychic"",""Grass""]",calyrex,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
899,Wyrdeer,wyrdeer,8,"[""Normal"",""Psychic""]",wyrdeer,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
900,Kleavor,kleavor,8,"[""Bug"",""Rock""]",kleavor,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
901,Ursaluna,ursaluna,8,"[""Ground"",""Normal""]",ursaluna,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
902,Basculegion,basculegion,8,"[""Water"",""Ghost""]",basculegion,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
903,Sneasler,sneasler,8,"[""Fighting"",""Poison""]",sneasler,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
904,Overqwil,overqwil,8,"[""Dark"",""Poison""]",overqwil,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
905,Enamorus,enamorus,8,"[""Fairy"",""Flying""]",enamorus,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
906,Sprigatito,sprigatito,9,"[""Grass""]",sprigatito,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
907,Floragato,floragato,9,"[""Grass""]",floragato,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
908,Meowscarada,meowscarada,9,"[""Grass"",""Dark""]",meowscarada,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
909,Fuecoco,fuecoco,9,"[""Fire""]",fuecoco,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
910,Crocalor,crocalor,9,"[""Fire""]",crocalor,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
911,Skeledirge,skeledirge,9,"[""Fire"",""Ghost""]",skeledirge,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
912,Quaxly,quaxly,9,"[""Water""]",quaxly,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
913,Quaxwell,quaxwell,9,"[""Water""]",quaxwell,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
914,Quaquaval,quaquaval,9,"[""Water"",""Fighting""]",quaquaval,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
915,Lechonk,lechonk,9,"[""Normal""]",lechonk,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
916,Oinkologne,oinkologne,9,"[""Normal""]",oinkologne,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
917,Tarountula,tarountula,9,"[""Bug""]",tarountula,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
918,Spidops,spidops,9,"[""Bug""]",spidops,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
919,Nymble,nymble,9,"[""Bug""]",nymble,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
920,Lokix,lokix,9,"[""Bug"",""Dark""]",lokix,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
921,Pawmi,pawmi,9,"[""Electric""]",pawmi,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
922,Pawmo,pawmo,9,"[""Electric"",""Fighting""]",pawmo,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
923,Pawmot,pawmot,9,"[""Electric"",""Fighting""]",pawmot,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
924,Tandemaus,tandemaus,9,"[""Normal""]",tandemaus,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
925,Maushold,maushold,9,"[""Normal""]",maushold,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
926,Fidough,fidough,9,"[""Fairy""]",fidough,external_stub,False,"[""pokeapi_species_csv"",""pokeapi_pokemon_types_csv""]",
