species_id,species_name,types,attack_type,relation,net_steps,combat_multiplier
abomasnow,Abomasnow,"[""Grass"",""Ice""]",Bug,weak,1,1.5
abomasnow,Abomasnow,"[""Grass"",""Ice""]",Dark,neutral,0,1.0
abomasnow,Abomasnow,"[""Grass"",""Ice""]",Dragon,neutral,0,1.0
abomasnow,Abomasnow,"[""Grass"",""Ice""]",Electric,resistant,-1,0.5
abomasnow,Abomasnow,"[""Grass"",""Ice""]",Fairy,neutral,0,1.0
abomasnow,Abomasnow,"[""Grass"",""Ice""]",Fighting,weak,1,1.5
abomasnow,Abomasnow,"[""Grass"",""Ice""]",Fire,weak,2,2.0
abomasnow,Abomasnow,"[""Grass"",""Ice""]",Flying,weak,1,1.5
abomasnow,Abomasnow,"[""Grass"",""Ice""]",Ghost,neutral,0,1.0
abomasnow,Abomasnow,"[""Grass"",""Ice""]",Grass,resistant,-1,0.5
abomasnow,Abomasnow,"[""Grass"",""Ice""]",Ground,resistant,-1,0.5
abomasnow,Abomasnow,"[""Grass"",""Ice""]",Ice,neutral,0,1.0
abomasnow,Abomasnow,"[""Grass"",""Ice""]",Normal,neutral,0,1.0
abomasnow,Abomasnow,"[""Grass"",""Ice""]",Poison,weak,1,1.5
abomasnow,Abomasnow,"[""Grass"",""Ice""]",Psychic,neutral,0,1.0
abomasnow,Abomasnow,"[""Grass"",""Ice""]",Rock,weak,1,1.5
abomasnow,Abomasnow,"[""Grass"",""Ice""]",Steel,weak,1,1.5
abomasnow,Abomasnow,"[""Grass"",""Ice""]",Water,resistant,-1,0.5
abra,Abra,"[""Psychic""]",Bug,weak,1,1.5
abra,Abra,"[""Psychic""]",Dark,weak,1,1.5
abra,Abra,"[""Psychic""]",Dragon,neutral,0,1.0
abra,Abra,"[""Psychic""]",Electric,neutral,0,1.0
abra,Abra,"[""Psychic""]",Fairy,neutral,0,1.0
abra,Abra,"[""Psychic""]",Fighting,resistant,-1,0.5
abra,Abra,"[""Psychic""]",Fire,neutral,0,1.0
abra,Abra,"[""Psychic""]",Flying,neutral,0,1.0
abra,Abra,"[""Psychic""]",Ghost,weak,1,1.5
abra,Abra,"[""Psychic""]",Grass,neutral,0,1.0
abra,Abra,"[""Psychic""]",Ground,neutral,0,1.0
abra,Abra,"[""Psychic""]",Ice,neutral,0,1.0
abra,Abra,"[""Psychic""]",Normal,neutral,0,1.0
abra,Abra,"[""Psychic""]",Poison,neutral,0,1.0
abra,Abra,"[""Psychic""]",Psychic,resistant,-1,0.5
abra,Abra,"[""Psychic""]",Rock,neutral,0,1.0
abra,Abra,"[""Psychic""]",Steel,neutral,0,1.0
abra,Abra,"[""Psychic""]",Water,neutral,0,1.0
absol,Absol,"[""Dark""]",Bug,weak,1,1.5
absol,Absol,"[""Dark""]",Dark,resistant,-1,0.5
absol,Absol,"[""Dark""]",Dragon,neutral,0,1.0
absol,Absol,"[""Dark""]",Electric,neutral,0,1.0
absol,Absol,"[""Dark""]",Fairy,weak,1,1.5
absol,Absol,"[""Dark""]",Fighting,weak,1,1.5
absol,Absol,"[""Dark""]",Fire,neutral,0,1.0
absol,Absol,"[""Dark""]",Flying,neutral,0,1.0
absol,Absol,"[""Dark""]",Ghost,resistant,-1,0.5
absol,Absol,"[""Dark""]",Grass,neutral,0,1.0
absol,Absol,"[""Dark""]",Ground,neutral,0,1.0
absol,Absol,"[""Dark""]",Ice,neutral,0,1.0
absol,Absol,"[""Dark""]",Normal,neutral,0,1.0
absol,Absol,"[""Dark""]",Poison,neutral,0,1.0
absol,Absol,"[""Dark""]",Psychic,immune,,0.0
absol,Absol,"[""Dark""]",Rock,neutral,0,1.0
absol,Absol,"[""Dark""]",Steel,neutral,0,1.0
absol,Absol,"[""Dark""]",Water,neutral,0,1.0
accelgor,Accelgor,"[""Bug""]",Bug,neutral,0,1.0
accelgor,Accelgor,"[""Bug""]",Dark,neutral,0,1.0
accelgor,Accelgor,"[""Bug""]",Dragon,neutral,0,1.0
accelgor,Accelgor,"[""Bug""]",Electric,neutral,0,1.0
accelgor,Accelgor,"[""Bug""]",Fairy,neutral,0,1.0
accelgor,Accelgor,"[""Bug""]",Fighting,resistant,-1,0.5
accelgor,Accelgor,"[""Bug""]",Fire,weak,1,1.5
accelgor,Accelgor,"[""Bug""]",Flying,weak,1,1.5
accelgor,Accelgor,"[""Bug""]",Ghost,neutral,0,1.0
accelgor,Accelgor,"[""Bug""]",Grass,resistant,-1,0.5
accelgor,Accelgor,"[""Bug""]",Ground,resistant,-1,0.5
accelgor,Accelgor,"[""Bug""]",Ice,neutral,0,1.0
accelgor,Accelgor,"[""Bug""]",Normal,neutral,0,1.0
accelgor,Accelgor,"[""Bug""]",Poison,neutral,0,1.0
accelgor,Accelgor,"[""Bug""]",Psychic,neutral,0,1.0
accelgor,Accelgor,"[""Bug""]",Rock,weak,1,1.5
accelgor,Accelgor,"[""Bug""]",Steel,neutral,0,1.0
accelgor,Accelgor,"[""Bug""]",Water,neutral,0,1.0
aegislash,Aegislash,"[""Steel"",""Ghost""]",Bug,resistant,-2,0.25
aegislash,Aegislash,"[""Steel"",""Ghost""]",Dark,weak,1,1.5
aegislash,Aegislash,"[""Steel"",""Ghost""]",Dragon,resistant,-1,0.5
aegislash,Aegislash,"[""Steel"",""Ghost""]",Electric,neutral,0,1.0
aegislash,Aegislash,"[""Steel"",""Ghost""]",Fairy,resistant,-1,0.5
aegislash,Aegislash,"[""Steel"",""Ghost""]",Fighting,immune,,0.0
aegislash,Aegislash,"[""Steel"",""Ghost""]",Fire,weak,1,1.5
aegislash,Aegislash,"[""Steel"",""Ghost""]",Flying,resistant,-1,0.5
aegislash,Aegislash,"[""Steel"",""Ghost""]",Ghost,weak,1,1.5
aegislash,Aegislash,"[""Steel"",""Ghost""]",Grass,resistant,-1,0.5
aegislash,Aegislash,"[""Steel"",""Ghost""]",Ground,weak,1,1.5
aegislash,Aegislash,"[""Steel"",""Ghost""]",Ice,resistant,-1,0.5
aegislash,Aegislash,"[""Steel"",""Ghost""]",Normal,immune,,0.0
aegislash,Aegislash,"[""Steel"",""Ghost""]",Poison,immune,,0.0
aegislash,Aegislash,"[""Steel"",""Ghost""]",Psychic,resistant,-1,0.5
aegislash,Aegislash,"[""Steel"",""Ghost""]",Rock,resistant,-1,0.5
aegislash,Aegislash,"[""Steel"",""Ghost""]",Steel,resistant,-1,0.5
