level,features_at_level,total_features_baseline,edges_at_level,total_edges_baseline,stat_points_at_level,total_stat_points_baseline,notes
1,5,5,4,4,10,10,"[""4 Features + 1 Training Feature"", ""4 Edges"", ""10 initial Stat Points""]"
2,0,5,2,6,1,11,"[""+1 Edge"", ""+1 Stat Point"", ""+1 bonus Skill Edge with rank-up restriction at this milestone""]"
3,1,6,0,6,1,12,"[""+1 Feature"", ""+1 Stat Point""]"
4,0,6,1,7,1,13,"[""+1 Edge"", ""+1 Stat Point""]"
5,1,7,0,7,1,14,"[""+1 Feature"", ""+1 Stat Point""]"
6,0,7,2,9,1,15,"[""+1 Edge"", ""+1 Stat Point"", ""+1 bonus Skill Edge with rank-up restriction at this milestone""]"
7,1,8,0,9,1,16,"[""+1 Feature"", ""+1 Stat Point""]"
8,0,8,1,10,1,17,"[""+1 Edge"", ""+1 Stat Point""]"
9,1,9,0,10,1,18,"[""+1 Feature"", ""+1 Stat Point""]"
10,0,9,1,11,1,19,"[""+1 Edge"", ""+1 Stat Point""]"
11,1,10,0,11,1,20,"[""+1 Feature"", ""+1 Stat Point""]"
12,0,10,2,13,1,21,"[""+1 Edge"", ""+1 Stat Point"", ""+1 bonus Skill Edge with rank-up restriction at this milestone""]"
13,1,11,0,13,1,22,"[""+1 Feature"", ""+1 Stat Point""]"
14,0,11,1,14,1,23,"[""+1 Edge"", ""+1 Stat Point""]"
15,1,12,0,14,1,24,"[""+1 Feature"", ""+1 Stat Point""]"
16,0,12,1,15,1,25,"[""+1 Edge"", ""+1 Stat Point""]"
17,1,13,0,15,1,26,"[""+1 Feature"", ""+1 Stat Point""]"
18,0,13,1,16,1,27,"[""+1 Edge"", ""+1 Stat Point""]"
19,1,14,0,16,1,28,"[""+1 Feature"", ""+1 Stat Point""]"
20,0,14,1,17,1,29,"[""+1 Edge"", ""+1 Stat Point""]"
21,1,15,0,17,1,30,"[""+1 Feature"", ""+1 Stat Point""]"
22,0,15,1,18,1,31,"[""+1 Edge"", ""+1 Stat Point""]"
23,1,16,0,18,1,32,"[""+1 Feature"", ""+1 Stat Point""]"
24,0,16,1,19,1,33,"[""+1 Edge"", ""+1 Stat Point""]"
25,1,17,0,19,1,34,"[""+1 Feature"", ""+1 Stat Point""]"
26,0,17,1,20,1,35,"[""+1 Edge"", ""+1 Stat Point""]"
27,1,18,0,20,1,36,"[""+1 Feature"", ""+1 Stat Point""]"
28,0,18,1,21,1,37,"[""+1 Edge"", ""+1 Stat Point""]"
29,1,19,0,21,1,38,"[""+1 Feature"", ""+1 Stat Point""]"
30,0,19,1,22,1,39,"[""+1 Edge"", ""+1 Stat Point""]"
31,1,20,0,22,1,40,"[""+1 Feature"", ""+1 Stat Point""]"
32,0,20,1,23,1,41,"[""+1 Edge"", ""+1 Stat Point""]"
33,1,21,0,23,1,42,"[""+1 Feature"", ""+1 Stat Point""]"
34,0,21,1,24,1,43,"[""+1 Edge"", ""+1 Stat Point""]"
35,1,22,0,24,1,44,"[""+1 Feature"", ""+1 Stat Point""]"
36,0,22,1,25,1,45,"[""+1 Edge"", ""+1 Stat Point""]"
37,1,23,0,25,1,46,"[""+1 Feature"", ""+1 Stat Point""]"
38,0,23,1,26,1,47,"[""+1 Edge"", ""+1 Stat Point""]"
39,1,24,0,26,1,48,"[""+1 Feature"", ""+1 Stat Point""]"
40,0,24,1,27,1,49,"[""+1 Edge"", ""+1 Stat Point""]"
41,1,25,0,27,1,50,"[""+1 Feature"", ""+1 Stat Point""]"
42,0,25,1,28,1,51,"[""+1 Edge"", ""+1 Stat Point""]"
43,1,26,0,28,1,52,"[""+1 Feature"", ""+1 Stat Point""]"
44,0,26,1,29,1,53,"[""+1 Edge"", ""+1 Stat Point""]"
45,1,27,0,29,1,54,"[""+1 Feature"", ""+1 Stat Point""]"
46,0,27,1,30,1,55,"[""+1 Edge"", ""+1 Stat Point""]"
47,1,28,0,30,1,56,"[""+1 Feature"", ""+1 Stat Point""]"
48,0,28,1,31,1,57,"[""+1 Edge"", ""+1 Stat Point""]"
49,1,29,0,31,1,58,"[""+1 Feature"", ""+1 Stat Point""]"
50,0,29,1,32,1,59,"[""+1 Edge"", ""+1 Stat Point""]"
